% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 19:30
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
1                                                 0.08443250080107938                               0.08443250080107938                               0.9999999999999996
1                                                 0.08564108250414716                               0.08564108250414718                               0.9999999999999981
1                                                 0.08564108328977543                               0.08564108328977543                               1.0000000000000007
1                                                 0.08758306982572872                               0.08758306982572872                               0.9999999999999996
1                                                 0.08909112128121198                               0.089091121281212                                 0.9999999999999999
1                                                 0.08909862802432987                               0.08909862802432988                               0.9999999999999988
1                                                 0.09389111993681856                               0.09389111993681856                               0.9999999999999994
1                                                 0.0938912097218964                                0.09389120972189641                               1.0000000000000007
1                                                 0.09481736159155185                               0.09481736159155187                               0.9999999999999992
1                                                 0.09481736201140314                               0.09481736201140316                               0.9999999999999989
1                                                 0.10279146578859383                               0.10279146578859384                               1.0000000000000013
1                                                 0.10279172222176833                               0.10279172222176833                               0.9999999999999996
1                                                 0.1058847307252971                                0.1058847307252971                                0.9999999999999994
1                                                 0.11302415240007847                               0.11302415240007847                               0.999999999999999
1                                                 0.11302415258828687                               0.11302415258828687                               1.0000000000000002
1                                                 0.12549169381073175                               0.12549169381073175                               0.9999999999999984
1                                                 0.12549191636252682                               0.12549191636252682                               0.9999999999999992
1                                                 0.12604435536796801                               0.12604435536796801                               0.9999999999999999
1                                                 0.14017371963186542                               0.14017371963186542                               0.9999999999999997
1                                                 0.1401737200818288                                0.1401737200818288                                1.0000000000000009
1                                                 0.14972051511381393                               0.14972051511381393                               1.0000000000000016
1                                                 0.14972069245038466                               0.1497206924503847                                1.0000000000000002
1                                                 0.15704518777850945                               0.15704518777850945                               1
1                                                 0.1570451888782162                                0.1570451888782162                                1.000000000000001
1                                                 0.17607889517536326                               0.1760788951753633                                0.9999999999999972
1                                                 0.17607889562388987                               0.17607889562388987                               1.0000000000000009
1                                                 0.18764259591166227                               0.1876425959116623                                1.0000000000000016
1                                                 0.19466912447694779                               0.1946691244769478                                0.9999999999999984
1                                                 0.1972443494290917                                0.19724434942909172                               1.0000000000000002
1                                                 0.19724435095809079                               0.19724435095809079                               0.9999999999999997
1.025                                             0.08446747518488065                               0.08446747518488067                               0.9999999999999984
1.025                                             0.08564661271125402                               0.08564661271125402                               0.9999999999999999
1.025                                             0.08564661300319693                               0.08564661300319693                               1.0000000000000007
1.025                                             0.08909218892819339                               0.08909218892819339                               0.9999999999999994
1.025                                             0.08909887623505863                               0.08909887623505865                               1.0000000000000007
1.025                                             0.08930320485461248                               0.08930320485461248                               1.000000000000002
1.025                                             0.09480464276489504                               0.09480464276489504                               1
1.025                                             0.09480464352645263                               0.09480464352645264                               1.0000000000000018
1.025                                             0.09557346998978822                               0.09557346998978822                               0.9999999999999998
1.025                                             0.09557352390904564                               0.09557352390904564                               0.9999999999999991
1.025                                             0.10279147965588509                               0.10279147965588509                               0.9999999999999989
1.025                                             0.10279175404239493                               0.10279175404239493                               0.9999999999999991
