% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 10 2026, 10:08
% Table:              Tabla 1 - Valor propio 1
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
1                                                 0.02770375273854997                               0.02770375273854997                               1.0000000000000002
1                                                 0.040216954537877894                              0.040216954537877894                              1.0000000000000013
1                                                 0.04023026895819585                               0.04023026895819585                               1.000000000000003
1.2                                               0.03114871308040182                               0.031148713080401822                              1.0000000000000009
1.2                                               0.04272007781576968                               0.04272007781576968                               1.0000000000000022
1.2                                               0.042721580088444684                              0.042721580088444684                              1.0000000000000004
1.4                                               0.033767314202291995                              0.033767314202291995                              1.0000000000000067
1.4                                               0.04473834007044376                               0.04473834007044376                               1.0000000000000016
1.4                                               0.044739894005627265                              0.044739894005627265                              1.0000000000000007
1.6                                               0.03581639534408364                               0.03581639534408364                               1.0000000000000027
1.6                                               0.04637906850792537                               0.04637906850792538                               0.9999999999999997
1.6                                               0.046382877099358025                              0.046382877099358025                              0.9999999999999991
1.8                                               0.0374537581668213                                0.0374537581668213                                0.9999999999999978
1.8                                               0.04772503671260216                               0.04772503671260217                               0.9999999999999993
1.8                                               0.047725878231289515                              0.047725878231289515                              0.9999999999999977
2                                                 0.03878797191480484                               0.03878797191480484                               0.999999999999999
2                                                 0.04883829663574458                               0.048838296635744585                              1.0000000000000004
2                                                 0.04884554342924373                               0.04884554342924373                               1.000000000000002
2.2                                               0.03988337373099687                               0.03988337373099687                               1.0000000000000002
2.2                                               0.04976663400260812                               0.04976663400260812                               0.9999999999999991
2.2                                               0.04977114112826159                               0.04977114112826159                               1.0000000000000002
2.4000000000000004                                0.04079801119668522                               0.040798011196685226                              1.0000000000000027
2.4000000000000004                                0.050550653474325635                              0.050550653474325635                              1.0000000000000013
2.4000000000000004                                0.05055237895628681                               0.050552378956286816                              0.9999999999999994
2.6                                               0.04156681203727176                               0.04156681203727176                               0.9999999999999993
2.6                                               0.05121132070791509                               0.05121132070791509                               0.9999999999999984
2.6                                               0.05121338805083442                               0.05121338805083442                               0.9999999999999976
2.8                                               0.04221722717704797                               0.042217227177047977                              0.9999999999999999
2.8                                               0.051771745838949786                              0.051771745838949786                              0.9999999999999984
2.8                                               0.051774275946489354                              0.051774275946489354                              1.0000000000000004
3                                                 0.04278288776808029                               0.0427828877680803                                1.0000000000000009
3                                                 0.052262677720573                                 0.052262677720573                                 1.0000000000000018
3                                                 0.05226758668461614                               0.05226758668461614                               0.9999999999999993
