% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 14 2026, 19:29
% Table:              Tabla 5 - Valor propio 1
% B (T)                                           lambda                                            Energía propia (eV)                               Probabilidad total (1)
0                                                 -0.020632775766213432                             -0.020632775766213432                             0.9999999999999988
0                                                 -0.012904529860849057                             -0.012904529860849057                             0.9999999999999998
0                                                 -0.0054203101666803755                            -0.0054203101666803755                            1.0000000000000016
0                                                 0.0018196217858827274                             0.0018196217858827274                             0.9999999999999991
0                                                 0.008813102218125854                              0.008813102218125854                              0.9999999999999984
0                                                 0.01555570757410521                               0.015555707574105212                              1.000000000000001
0                                                 0.0220402092790533                                0.022040209279053303                              1.0000000000000002
0                                                 0.02825579723116585                               0.02825579723116585                               0.9999999999999989
0                                                 0.03131875844728979                               0.03131875844728979                               1.0000000000000018
0                                                 0.03418645317332064                               0.03418645317332064                               1.0000000000000002
0                                                 0.03864107433102223                               0.03864107433102223                               1.000000000000003
0                                                 0.0394103469857136                                0.0394103469857136                                1
0                                                 0.03981077839715687                               0.03981077839715687                               0.9999999999999986
0                                                 0.04507759811111464                               0.04507759811111464                               0.9999999999999997
0                                                 0.047276553587383446                              0.047276553587383446                              0.999999999999999
0                                                 0.05002708591810453                               0.05002708591810453                               0.9999999999999999
0                                                 0.05361418764486124                               0.05361418764486124                               1.0000000000000009
0                                                 0.054009692852854015                              0.054009692852854015                              0.9999999999999994
0                                                 0.05491131289949897                               0.05491131289949898                               1.0000000000000013
0                                                 0.05835205519841834                               0.058352055198418344                              1.0000000000000027
0                                                 0.059058822776196625                              0.05905882277619663                               1.0000000000000013
0                                                 0.060182969669499896                              0.060182969669499896                              0.9999999999999978
0                                                 0.06228232508134378                               0.06228232508134378                               0.9999999999999982
0                                                 0.0684345776640462                                0.0684345776640462                                0.9999999999999991
0                                                 0.06849165714979863                               0.06849165714979864                               1.0000000000000007
0                                                 0.06939616157925652                               0.06939616157925652                               0.9999999999999981
