% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 21:01
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
1                                                 0.061005907863832844                              0.061005907863832844                              0.9999999999999992
1                                                 0.06961567545025056                               0.06961567545025056                               1.0000000000000002
1                                                 0.0696422826939223                                0.0696422826939223                                1.0000000000000007
1                                                 0.08454119188826699                               0.084541191888267                                 1.0000000000000007
1                                                 0.0856899031015187                                0.0856899031015187                                0.9999999999999977
1.02                                              0.06167405695862622                               0.06167405695862622                               1.0000000000000016
1.02                                              0.07021503175129354                               0.07021503175129355                               0.9999999999999997
1.02                                              0.07023014040415805                               0.07023014040415806                               0.9999999999999996
1.02                                              0.08454162000809179                               0.08454162000809179                               0.9999999999999987
1.02                                              0.0856906231022206                                0.0856906231022206                                1.0000000000000004
1.04                                              0.06233215438724997                               0.062332154387249976                              0.9999999999999998
1.04                                              0.07080509753998401                               0.07080509753998401                               0.9999999999999996
1.04                                              0.07081454816816254                               0.07081454816816254                               0.9999999999999996
1.04                                              0.0845420693002696                                0.0845420693002696                                1.0000000000000007
1.04                                              0.08569138397756167                               0.08569138397756168                               0.9999999999999996
1.06                                              0.06297595447989121                               0.06297595447989121                               1.0000000000000007
1.06                                              0.07138592688361171                               0.07138592688361171                               0.9999999999999979
1.06                                              0.07138732293877863                               0.07138732293877864                               1.0000000000000013
1.06                                              0.08454253058931953                               0.08454253058931953                               1.0000000000000004
1.06                                              0.08569218513932149                               0.08569218513932149                               0.9999999999999978
1.08                                              0.06361140051393135                               0.06361140051393135                               0.9999999999999993
1.08                                              0.07195756512219165                               0.07195756512219165                               0.9999999999999989
1.08                                              0.07195870960508786                               0.07195870960508786                               1.000000000000001
1.08                                              0.08454301101272024                               0.08454301101272024                               0.9999999999999989
1.08                                              0.08569304481847485                               0.08569304481847487                               0.9999999999999994
1.1                                               0.06423430902824298                               0.06423430902824298                               0.9999999999999978
