x_0(nm)	Estado_1(eV)	Estado_2(eV)	Estado_3(eV)	Estado_4(eV)	Estado_5(eV)	Estado_6(eV)	Estado_7(eV)	Estado_8(eV)	Estado_9(eV)	Estado_10(eV)	Estado_11(eV)	Estado_12(eV)	Estado_13(eV)	Estado_14(eV)	Estado_15(eV)	Estado_16(eV)	Estado_17(eV)	Estado_18(eV)	Estado_19(eV)	Estado_20(eV)
7	-0.06373681705	-0.05261201644	-0.04203674735	-0.03180408219	-0.02947686807	-0.02182435125	-0.01659621984	-0.01195449954	-0.0051709687	-0.001815739265	0.004745382105	0.008895548884	0.01253324916	0.01380459507	0.01966121248	0.02240661622	0.02673013567	0.03017232157	0.03067910926	0.03865229052
7.2	-0.06373682369	-0.05261201987	-0.04203675887	-0.03180409442	-0.02947717832	-0.02182436291	-0.01659641805	-0.01195450719	-0.005171243056	-0.00181579202	0.004745167174	0.008895392493	0.01253070396	0.01380441545	0.01966096287	0.02240640901	0.02672854195	0.03017206106	0.03067888665	0.0386520646
7.4	-0.06373683219	-0.05261202422	-0.04203677414	-0.03180411128	-0.0294775867	-0.02182437985	-0.01659668166	-0.01195451897	-0.005171616506	-0.001815862448	0.004744863909	0.008895178994	0.01252730735	0.01380415475	0.01966061337	0.02240610942	0.02672640462	0.03017168581	0.03067856615	0.03865174143
7.6	-0.06373684428	-0.05261203078	-0.04203679551	-0.03180413512	-0.02947814847	-0.02182440397	-0.01659705301	-0.01195453671	-0.005172127814	-0.001815960479	0.00474445015	0.00889488436	0.01252271417	0.01380380037	0.01966013188	0.02240570643	0.02672347654	0.03017116809	0.03067813551	0.03865130645
7.8	-0.06373686099	-0.05261203997	-0.04203682471	-0.03180416807	-0.02947891083	-0.02182443719	-0.01659756236	-0.0119545611	-0.005172820079	-0.001816095001	0.004743892786	0.008894482519	0.01251653289	0.01380332386	0.01965948141	0.0224051657	0.026719508	0.03017046772	0.03067755652	0.03865072134
8	-0.06373688354	-0.052612052	-0.04203686265	-0.03180421016	-0.02947993336	-0.02182447872	-0.01659823809	-0.0119545912	-0.005173722639	-0.001816270428	0.00474317146	0.008893961089	0.0125082442	0.01380270734	0.01965863545	0.02240446388	0.02671418457	0.03016955743	0.0306768019	0.03864995773
8.2	-0.06373691421	-0.05261206882	-0.04203691468	-0.03180426939	-0.0294813101	-0.02182453873	-0.01659916438	-0.01195463643	-0.005174957724	-0.001816511321	0.004742173684	0.008893242172	0.01249712637	0.01380184796	0.01965746236	0.02240349102	0.0267069871	0.03016828428	0.0306757572	0.03864890531
8.4	-0.06373695497	-0.05261209175	-0.04203698494	-0.03180435024	-0.02948314417	-0.02182462064	-0.01660041768	-0.0119546985	-0.005176618807	-0.001816837383	0.004740832989	0.008892271181	0.01248226442	0.01380069313	0.01965587839	0.022402187	0.0266972996	0.0301665612	0.03067435351	0.03864749173
8.6	-0.06373701226	-0.05261212438	-0.04203708052	-0.03180446038	-0.02948564515	-0.0218247325	-0.01660213801	-0.0119547859	-0.005178855522	-0.001817281652	0.004739032986	0.008890961425	0.01246224464	0.01379914135	0.01965374121	0.02240043898	0.02668417927	0.03016422857	0.03067246838	0.03864559136
8.8	-0.06373708879	-0.05261216809	-0.04203720711	-0.03180460589	-0.02948897964	-0.02182487944	-0.01660444041	-0.01195490165	-0.005181819393	-0.001817871682	0.004736652548	0.008889228819	0.01243546103	0.01379708564	0.01965090087	0.02239812037	0.02666657581	0.0301611228	0.03066995875	0.03864306842
9	-0.0637371927	-0.05261222807	-0.04203737859	-0.03180480626	-0.02949345683	-0.02182508449	-0.01660756157	-0.01195506488	-0.005185832498	-0.001818673571	0.004733419306	0.00888687029	0.01239953435	0.01379428938	0.01964702813	0.02239497139	0.02664287762	0.03015687981	0.0306665411	0.03863963985
9.2	-0.06373733431	-0.05261231103	-0.04203761004	-0.03180507721	-0.02949947841	-0.02182536166	-0.01661179542	-0.01195528975	-0.005191220107	-0.001819759788	0.004729088557	0.008883704833	0.01235128581	0.01379053826	0.01964181674	0.02239074244	0.02661093324	0.03015115324	0.03066193129	0.03863502776
9.4	-0.06373752544	-0.05261242407	-0.04203792096	-0.03180544286	-0.02950754224	-0.02182573644	-0.01661750515	-0.01195559687	-0.005198451237	-0.001821224419	0.004723281028	0.008879455483	0.0122865176	0.01378550318	0.0196347979	0.02238505185	0.02656796124	0.03014343161	0.03065569429	0.03862881182
9.6	-0.06373778548	-0.05261257883	-0.0420383391	-0.03180593646	-0.02951838233	-0.02182624414	-0.0166252206	-0.01195601864	-0.005208175201	-0.001823202618	0.004715475963	0.008873746985	0.01219936966	0.01377873017	0.01962532626	0.02237737068	0.02651005989	0.03013299725	0.03064722212	0.03862041413
9.8	-0.06373813764	-0.05261279011	-0.04203890185	-0.03180660303	-0.02953293424	-0.02182693138	-0.01663563953	-0.01195659577	-0.005221274989	-0.001825877195	0.004704969833	0.008866073154	0.01208200688	0.01376960722	0.01961253136	0.0223669644	0.02643201543	0.0301188909	0.03063564719	0.03860902887
10	-0.063738615	-0.05261308033	-0.04203966402	-0.03180750984	-0.02955249741	-0.0218278689	-0.01664976204	-0.01195739184	-0.00523902979	-0.001829518398	0.004690740908	0.008855699495	0.01192365082	0.01375724498	0.01959515858	0.02235274647	0.02632660152	0.03009972184	0.03061965669	0.03859346895
10.2	-0.06373926432	-0.05261347788	-0.04204069442	-0.03180873858	-0.02957887566	-0.02182914261	-0.01666889863	-0.0119584847	-0.005263132175	-0.001834470879	0.004671434891	0.008841691645	0.0117094474	0.01374046403	0.01957155681	0.02233320339	0.02618403637	0.03007366638	0.03059733989	0.03849168975
10.4	-0.06374014736	-0.05261402145	-0.04204209008	-0.031810406	-0.02961451252	-0.02183087524	-0.01669485899	-0.0119599832	-0.005296026884	-0.001841227817	0.004645093721	0.008822728555	0.01141913539	0.01371756206	0.01953937756	0.02230603049	0.02599095664	0.03003813216	0.03056562056	0.03798445654
10.6	-0.06374134863	-0.05261476724	-0.04204399161	-0.03181268015	-0.02966280796	-0.0218332421	-0.01673022648	-0.01196204599	-0.005341310911	-0.001850513085	0.004608831536	0.00879692988	0.01102505041	0.01368602134	0.01949525381	0.0222675449	0.02572899158	0.02998936277	0.03051916444	0.03715610354
10.8	-0.06374299392	-0.05261579496	-0.04204659829	-0.03181579869	-0.02972871764	-0.02183649557	-0.01677868307	-0.01196489973	-0.005404362763	-0.00186337917	0.004558324076	0.008761607429	0.01048954855	0.01364208617	0.0194343176	0.02221152827	0.02537330227	0.02992193089	0.03044769651	0.03591506385
11	-0.06374525216	-0.05261721283	-0.04205019659	-0.03182009818	-0.02981925146	-0.02184098765	-0.01684545587	-0.01196885487	-0.005493438257	-0.001881403053	0.00448692444	0.008712927741	0.009763440143	0.01357996159	0.01934953111	0.02212623602	0.02489230068	0.02982785179	0.03032736274	0.03433375428
11.2	-0.06374837059	-0.0526191789	-0.04205522023	-0.03182608296	-0.02994489169	-0.02184724637	-0.01693835126	-0.01197437198	-0.005622002857	-0.001907112917	0.004383813175	0.008645183648	0.008785467292	0.01349021654	0.01923037007	0.02198526876	0.0242520458	0.02969491651	0.03008529031	0.03266153237
11.4	-0.06375271631	-0.05262192377	-0.04206234315	-0.03183452178	-0.03012176369	-0.02185607645	-0.01706927814	-0.01198213776	-0.005813236497	-0.001944835725	0.004230489865	0.007487615985	0.008549771174	0.01335669147	0.0190609973	0.02171224479	0.02344807176	0.02946713354	0.02950409707	0.03132169483
11.6	-0.06375884882	-0.05262580473	-0.04207268697	-0.03184666862	-0.03037568238	-0.02186878447	-0.0172575062	-0.01199324754	-0.00611046767	-0.002002985333	0.003993017294	0.005812283753	0.008413343446	0.01314968231	0.01881748184	0.02105654306	0.02262932577	0.028246776	0.02922484882	0.03064126249
11.8	-0.06376765397	-0.05263136599	-0.04208821031	-0.03186462639	-0.03075006326	-0.02188754999	-0.01753506253	-0.01200944272	-0.006601271076	-0.002100960336	0.00360512745	0.003753619676	0.008215701411	0.01281068252	0.01846607166	0.01967932512	0.02202633009	0.02685815427	0.02880917359	0.03021114828
12	-0.06378062394	-0.05263951198	-0.04211274507	-0.03189230131	-0.03132264312	-0.02191640126	-0.01795985546	-0.01203381954	-0.007475764297	-0.002298598554	0.001455367011	0.002929135701	0.007928172462	0.01221611502	0.01769904392	0.01796869438	0.02143184953	0.02557802145	0.02818884549	0.02968437647
12.2	-0.06380047023	-0.0526518423	-0.04215495929	-0.03224188189	-0.03193780124	-0.02196365355	-0.01864495949	-0.01207240959	-0.009109491946	-0.002841522275	-0.0005546253759	0.001685451669	0.0075200184	0.01110516857	0.01543254895	0.01731696116	0.020473818	0.02445344126	0.02730696763	0.02879797469
12.4	-0.06380047032	-0.05265184303	-0.04215496125	-0.03224188423	-0.03193780518	-0.02196365968	-0.01864496792	-0.01207242008	-0.009109505457	-0.002841536355	-0.0005546523834	0.0016854287	0.007519993363	0.01110513618	0.01543249037	0.01731692083	0.02047377357	0.02445333668	0.02730690731	0.02879791163
12.6	-0.06380047027	-0.05265184274	-0.04215496041	-0.03224188327	-0.03193780313	-0.02196365679	-0.0186449652	-0.01207241475	-0.009109500304	-0.002841529907	-0.0005546422246	0.00168543687	0.007520004144	0.01110514754	0.01543250826	0.01731693649	0.02047378888	0.0244533637	0.02730693222	0.02879793458
12.8	-0.0638004702	-0.05265184225	-0.04215495916	-0.03224188091	-0.03193780098	-0.02196365383	-0.01864495914	-0.01207241002	-0.009109490364	-0.002841522083	-0.0005546246925	0.001685449963	0.007520016182	0.01110516345	0.01543254868	0.01731696069	0.02047381259	0.0244534259	0.0273069668	0.02879796877
13	-0.06380046997	-0.05265184193	-0.04215495876	-0.03224188038	-0.03193780048	-0.02196365286	-0.01864495758	-0.01207240796	-0.009109490049	-0.002841520187	-0.0005546214293	0.001685454003	0.007520022744	0.01110517204	0.01543255749	0.01731696984	0.02047382474	0.02445345415	0.02730698299	0.02879798836
13.2	-0.06380046999	-0.05265184195	-0.04215495899	-0.03224188106	-0.0319378005	-0.02196365223	-0.01864495891	-0.01207240749	-0.009109491054	-0.002841519387	-0.0005546245652	0.001685452484	0.007520022817	0.0111051726	0.01543254763	0.01731696938	0.0204738236	0.02445344585	0.0273069795	0.02879798776
13.4	-0.06380046982	-0.0526518417	-0.04215495833	-0.03224188014	-0.03193779974	-0.02196365108	-0.01864495685	-0.0120724052	-0.009109488902	-0.002841517201	-0.0005546206639	0.001685456988	0.007520027505	0.01110517771	0.01543255675	0.0173169758	0.02047383177	0.02445346069	0.0273069895	0.02879799897
