% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 14 2026, 18:41
% Table:              Tabla 5 - Valor propio 1
% B (T)                                           lambda                                            Energía propia (eV)                               Probabilidad total (1)
0                                                 -0.06169087559236758                              -0.06169087559236758                              0.9999999999999983
0                                                 -0.050816613476438455                             -0.05081661347643846                              1.000000000000001
0                                                 -0.040218626705193716                             -0.040218626705193716                             1.0000000000000007
0                                                 -0.029885477216639922                             -0.029885477216639922                             0.9999999999999992
0                                                 -0.0198088080026029                               -0.0198088080026029                               0.9999999999999992
0                                                 -0.009982888455710909                             -0.009982888455710909                             0.9999999999999994
0                                                 -0.007922974957834228                             -0.007922974957834228                             1.0000000000000004
0                                                 -4.043375134489269E-4                             -4.0433751344892693E-4                            1
0                                                 0.003621696573896563                              0.0036216965738965633                             1.000000000000002
0                                                 0.008928053774764688                              0.008928053774764688                              0.9999999999999997
0                                                 0.014931239643290337                              0.014931239643290338                              1.0000000000000004
0                                                 0.018013404034898428                              0.018013404034898428                              1.0000000000000009
0                                                 0.025996705844959875                              0.025996705844959875                              0.9999999999999983
0                                                 0.026848941241213994                              0.026848941241213998                              0.999999999999999
0                                                 0.029915367984130192                              0.029915367984130192                              1.0000000000000009
0                                                 0.03542800828130864                               0.03542800828130864                               0.9999999999999994
0                                                 0.036811163079999695                              0.0368111630799997                                0.9999999999999998
0                                                 0.04374461577534263                               0.04374461577534264                               1.0000000000000009
0                                                 0.047360601456145436                              0.047360601456145436                              1.000000000000001
0                                                 0.04980844529243341                               0.04980844529243341                               0.999999999999999
0                                                 0.05178678957630828                               0.05178678957630828                               1.0000000000000009
0                                                 0.057645238076236775                              0.057645238076236775                              1.0000000000000002
0                                                 0.05953961387138881                               0.05953961387138881                               0.9999999999999987
0                                                 0.062385476332248536                              0.062385476332248536                              1.000000000000001
0                                                 0.06698172614519864                               0.06698172614519864                               0.9999999999999987
0                                                 0.0676504525641809                                0.0676504525641809                                1.0000000000000004
0                                                 0.07325665931644487                               0.07325665931644487                               0.9999999999999977
0                                                 0.07408805400183809                               0.07408805400183809                               0.9999999999999999
0                                                 0.07736540440542668                               0.07736540440542668                               1.0000000000000007
0                                                 0.08078382116277892                               0.08078382116277893                               0.9999999999999996
0                                                 0.08435037892707445                               0.08435037892707445                               1.0000000000000033
0                                                 0.08505885946665796                               0.08505885946665796                               1.000000000000001
0                                                 0.08647877990648573                               0.08647877990648573                               0.9999999999999993
0                                                 0.08675984088621497                               0.08675984088621498                               0.9999999999999981
0                                                 0.08719118158092203                               0.08719118158092203                               0.999999999999998
0                                                 0.09231141249731875                               0.09231141249731875                               1.0000000000000016
0                                                 0.09589009333514889                               0.0958900933351489                                0.9999999999999997
0                                                 0.0963191422376517                                0.0963191422376517                                0.9999999999999989
