x_0(nm)	Estado_1(eV)	Estado_2(eV)	Estado_3(eV)	Estado_4(eV)	Estado_5(eV)	Estado_6(eV)	Estado_7(eV)	Estado_8(eV)	Estado_9(eV)	Estado_10(eV)	Estado_11(eV)	Estado_12(eV)	Estado_13(eV)	Estado_14(eV)	Estado_15(eV)	Estado_16(eV)	Estado_17(eV)	Estado_18(eV)	Estado_19(eV)	Estado_20(eV)
20.2	43.43579848	55.0082716	55.07628949	83.55942429	85.57051878	126.1498933	126.1657703	167.2071664	176.3192509	176.6412335	186.3683278	186.5373632	222.6723751	231.5020036	233.3901462	233.39192	261.9618346	262.217577	262.217636	262.4956958
20.4	43.43576015	55.00820097	55.07622549	83.55921569	85.57030726	126.1490832	126.1649759	167.1986683	176.315654	176.6373753	186.3491451	186.518034	222.5791612	231.3328143	233.3677587	233.3695021	259.5688725	261.0432619	261.0450153	262.3264039
20.6	43.43568964	55.00810631	55.0761125	83.55897657	85.57002519	126.1481901	126.1640692	167.1890721	176.3115877	176.6330167	186.3262847	186.4949768	222.4473919	231.0742183	233.3390697	233.3408005	253.613116	255.4626408	255.4657553	260.0235523
20.8	43.43556818	55.00793616	55.07595988	83.55867111	85.56965462	126.1471472	126.1630293	167.1778879	176.3068811	176.627928	186.2977733	186.4662081	222.2400481	230.6178733	233.299858	233.3015985	245.7772912	247.6445664	247.6481161	252.7504054
21	43.43551245	55.0078504	55.07587379	83.55844663	85.56940189	126.1462018	126.162083	167.1644225	176.3016363	176.6222242	186.2601915	186.4282427	221.8554629	229.6107257	233.2415762	233.2432667	236.7213775	238.5390245	238.5428054	244.0314183
21.2	43.43545965	55.00776809	55.07579116	83.55822343	85.56914981	126.145197	126.1610772	167.1473926	176.2953452	176.6153137	186.2067364	186.3741653	220.9150966	226.7065616	226.8777696	228.6483938	228.6523502	233.1451269	233.1469284	234.9747066
21.4	43.43540924	55.0076884	55.07571114	83.55799896	85.56889542	126.1441084	126.1599873	167.1245557	176.2874636	176.606528	186.1220575	186.2883171	216.5936139	217.6720167	218.3564448	218.361319	219.7836392	227.7570686	228.1761281	228.1769704
21.6	43.43536078	55.00761064	55.07563307	83.55777069	85.56863574	126.1429046	126.1587821	167.0914151	176.2770352	176.5946214	185.9627428	186.1262103	206.1585156	207.9889011	207.9963073	209.8878842	210.3754178	217.7413148	217.7418447	224.9258232
21.8	43.43531387	55.00753417	55.07555627	83.55753586	85.56836749	126.1415425	126.1574184	167.0374084	176.2621923	176.5768581	185.5476433	185.7006523	195.8066082	197.9485408	197.9661669	200.1890508	200.3397616	207.3074787	207.3078541	216.7556543
22	43.43526817	55.00745838	55.07548015	83.5572914	85.56808694	126.1399608	126.1558347	166.9306685	176.2387241	176.5446684	183.4517812	183.5331868	185.7414039	189.8248269	189.9137712	190.247313	190.3083111	197.069919	197.0702926	206.4156319
22.2	43.43522335	55.00738268	55.07540411	83.55703378	85.56778977	126.1380682	126.1539395	166.6166248	175.9528953	176.0265917	176.0369894	176.1947336	176.7687988	180.5039183	180.5334947	187.1045208	187.1205512	187.4411927	187.5852773	196.4368617
22.4	43.43517912	55.0073065	55.07532759	83.55675873	85.56747067	126.1357199	126.1515877	164.3175271	167.0467997	167.0492574	169.0801695	171.1242342	171.1405647	176.0789748	176.4105088	177.6643916	177.6644255	186.9307115	186.9523503	186.9614434
22.6	43.43513521	55.00722925	55.07524996	83.55646095	85.56712295	126.1326715	126.1485342	156.7365157	158.2513898	158.2523268	162.1850096	162.195025	167.7277589	168.6365417	168.6365786	175.2255979	175.4490846	178.6750499	178.7861845	186.7609102
22.8	43.43509133	55.00715028	55.0751706	83.55613368	85.56673795	126.1284735	126.1443286	148.5210283	149.86917	149.8696219	153.7222352	153.7289042	160.0983638	160.0984219	167.473718	168.61063	168.6531109	176.6529874	176.9667226	180.1471037
23	43.43504723	55.00706892	55.07508883	83.55576802	85.56630409	126.1221976	126.1380392	140.6590071	141.9515553	141.9518084	145.7470104	145.7518073	152.0573731	152.0574407	160.6435723	160.6440038	167.4177026	171.9244605	171.9244673	176.4816861
23.2	43.43500262	55.0069844	55.07500386	83.55535179	85.56580526	126.1115548	126.1273674	133.2429644	134.5064182	134.506584	138.2546141	138.2582769	144.5083494	144.5084367	153.0517636	153.0518609	164.1880889	164.1880977	167.3677841	176.4266715
23.4	43.43495721	55.00689585	55.07491482	83.55486788	85.5652184	126.0885924	126.1042783	126.2806621	127.5248767	127.525041	131.2308049	131.2336904	137.4429944	137.4431502	145.906464	145.9065341	156.9241703	156.9241911	167.3370098	170.3266441
23.6	43.4349107	55.00680223	55.07482066	83.55429124	85.56450893	119.7588512	120.9861244	120.9861825	124.6546225	124.6572599	126.0103332	126.0256758	130.884701	130.8852801	139.2024522	139.2025027	150.1111115	150.1111301	163.3907655	163.3907852
23.8	43.43486275	55.00670231	55.07472015	83.55358367	85.56362265	113.6583101	114.8719158	114.8719599	118.504313	118.5067623	124.2070251	124.2091148	126.4782278	126.492046	132.9233452	132.9233715	143.7284735	143.7284773	156.8875204	156.8875426
