x_0(nm)	Estado_1(eV)	Estado_2(eV)	Estado_3(eV)	Estado_4(eV)	Estado_5(eV)	Estado_6(eV)	Estado_7(eV)	Estado_8(eV)	Estado_9(eV)	Estado_10(eV)	Estado_11(eV)	Estado_12(eV)	Estado_13(eV)	Estado_14(eV)	Estado_15(eV)	Estado_16(eV)	Estado_17(eV)	Estado_18(eV)	Estado_19(eV)	Estado_20(eV)
20.2	38.66763019	53.68505467	58.37463328	83.89533274	85.68088461	126.1088244	126.2501823	160.560198	160.8096376	161.5579565	162.8051548	163.9380963	164.5512326	166.7961903	169.5400285	172.7827481	176.2812868	176.4748091	176.5243506	180.7648381
20.4	38.66755481	53.68496596	58.37457188	83.89509593	85.68062984	126.1078767	126.2492154	160.560198	160.8096376	161.5579565	162.8051548	163.9232359	164.5512326	166.7961903	169.5400285	172.7827481	176.276749	176.4699652	176.5243506	180.7648381
20.6	38.66745167	53.68483145	58.37447766	83.89482459	85.68030357	126.1067894	126.2481469	160.560198	160.8096376	161.5579565	162.8051548	163.9053865	164.5512326	166.7961903	169.5400285	172.7827481	176.2714562	176.4642976	176.5243506	180.7648381
20.8	38.66729487	53.68466308	58.37430931	83.89447601	85.67989352	126.1055451	126.246891	160.560198	160.8096376	161.5579565	162.8051548	163.882861	164.5512326	166.7961903	169.5400285	172.7827481	176.2650558	176.4573896	176.5243506	180.7648381
21	38.66720487	53.68455584	58.37422505	83.8942102	85.67958882	126.1043463	126.2456893	160.560198	160.8096376	161.5579565	162.8051548	163.8525902	164.5512326	166.7961903	169.5400285	172.7827481	176.2573116	176.4489843	176.5243506	180.7648381
21.2	38.66711744	53.68445139	58.37414315	83.89394026	85.67927775	126.1030258	126.2443625	160.560198	160.8096376	161.5579565	162.8051548	163.8080243	164.5512326	166.7961903	169.5400285	172.7827481	176.2469861	176.4376737	176.5243506	180.7648381
21.4	38.66703167	53.68434862	58.37406265	83.89366197	85.67895515	126.1015301	126.2428542	160.560198	160.8096376	161.5579565	162.8051548	163.7326245	164.5512326	166.7961903	169.5400285	172.7827481	176.2316147	176.4205816	176.5243506	180.7648381
21.6	38.66694674	53.68424653	58.37398266	83.89337061	85.67861505	126.0997791	126.2410795	160.560198	160.8096376	161.5579565	162.8051548	163.5681984	164.5512326	166.7961903	169.5400285	172.7827481	176.2026807	176.3828586	176.5243506	179.0458637
21.8	38.66686184	53.6841441	58.37390223	83.89306031	85.67824989	126.097644	126.2388977	160.560198	160.8096376	161.5579565	162.8051548	162.8963518	164.5512326	166.7961903	169.4068369	169.5400286	172.7827481	175.8603058	176.331444	176.5243506
22	38.66677615	53.68404029	58.37382034	83.89272363	85.67784979	126.0948974	126.2360515	157.3281093	160.560198	160.8096376	161.5579565	162.8051548	164.5512325	164.6903682	166.6122807	166.7961903	169.5400285	172.7827481	174.8235732	176.1025612
22.2	38.66668881	53.68393397	58.37373587	83.89235062	85.67740106	126.0910867	126.231988	147.9011798	156.778379	160.560198	160.8096376	161.5579565	162.8051548	163.5617796	164.5512326	165.946705	166.7961903	169.5400285	172.7656641	172.7827485
22.4	38.66659889	53.6838239	58.37364745	83.89192726	85.6768836	126.0851199	126.2250887	138.5031465	147.2839098	155.5614123	160.560198	160.8096376	161.5579565	162.8051548	163.5210135	164.2402043	164.5512326	166.7961903	169.5400285	171.059886
22.6	38.66650534	53.68370864	58.37355336	83.89143282	85.67626599	126.0732612	126.202322	129.5028262	138.2288104	146.5459891	154.4774603	160.560198	160.8096376	161.5579565	161.7870152	162.8051548	164.3985414	164.5512326	166.7961903	169.0216187
